Сентябрь Sentabr
сентябрь sentabr
Октябрь Oktabr
октябрь oktabr
Бюджет Budjet
бюджет budjet
цезий seziy
цейтнот seytnot
целлофан sellofan
целлюлоза sellyuloza
цельсий selsiy
цемент sement
цензор senzor
цензура senzura
центнер sentner
цех sex
цеце setse
цивилизация sivilizatsiya
цикл sikl
циклон siklon
цилиндр silindr
цилиндрик silindrik
цилиндрсимон silindrsimon
цирк sirk
циркуль sirkul
цистерна sisterna
цитрус sitrus
ае aye
Ие Iye
ие iye
ее eye
ёе yoye
ое oye
уе uye
ўе o‘ye
юе yuye
яе yaye
АЕ AYE
ИЕ IYE
Ае Aye
ОЕ OYE
УЕ UYE
ЎЕ O‘YE
ЮЕ YUYE
ЯЕ YAYE
бц bs
вц vs
гц gs
дц ds
жц js
зц zs
йц ys
кц ks
лц ls
мц ms
нц ns
пц ps
рц rs
Сц Ss
сц ss
тц ts
фц fs
хц xs
цц tss
чц chs
шц shs
ьц s
Ҳ H
Ғ G‘
Қ Q
Ў O‘
ғ g‘
қ q
ў o‘
ҳ h
А A
Б B
В V
Г G
Д D
Е E
Ё YO
Ж J
З Z
И I
Й Y
К K
Л L
М M
Н N
О O
П P
Р R
С S
Т T
У U
Ф F
Х X
Ц S
Ч CH
Ш SH
Ъ ’
Э E
Ю YU
Я YA
а a
б b
в v
г g
д d
е e
ё yo
± yo
ж j
з z
и i
й y
к k
л l
м m
н n
о o
п p
р r
с s
т t
у u
ф f
х x
ц ts
ч ch
ш sh
ъ '
э e
ю yu
я ya
