Sentabr Сентябрь
sentabr сентябрь
Oktabr Октябрь
oktabr октябрь
Budjet Бюджет
budjet бюджет
Mo'jaz Мўъжаз
mo‘jaz мўъжаз
mo'jaz мўъжаз
mo’jaz мўъжаз
o‘jiza ўъжиза
o‘tabar ўътабар
o‘tadil ўътадил
o'jiza ўъжиза
o'tabar ўътабар
o'tadil ўътадил
o’jiza ўъжиза
o’tabar ўътабар
o'tadil ўътадил
o’jiza ўъжиза
o’tabar ўътабар
o’tadil ўътадил
TA'LIM ТАЪЛИМ
TA’LIM ТАЪЛИМ
TA‘LIM ТАЪЛИМ
YU Ю
YO Ё
YA Я
SH Ш
CH Ч
Seziy Цезий
Seytnot Цейтнот
Sellofan Целлофан
Sellyuloza Целлюлоза
Selsiy Цельсий
Sement Цемент
Senzor Цензор
Senzura Цензура
Sentner Центнер
Sex Цех
Setse Цеце
Sivilizatsiya Цивилизация
Sikl Цикл
Siklon Циклон
Silindr Цилиндр
Sirk Цирк
Sirkul Циркуль
Sisterna Цистерна
Sitrus Цитрус
seziy цезий
seytnot цейтнот
sellofan целлофан
sellyuloza целлюлоза
selsiy цельсий
sement цемент
senzor цензор
senzura цензура
sentner центнер
sex цех
setse цеце
sivilizatsiya цивилизация
sikl цикл
siklon циклон
silindr цилиндр
sirk цирк
sirkul циркуль
sisterna цистерна
sitrus цитрус
Ye Е
Yo‘ Йў
Yo' Йў
Yo’ Йў
TS Ц
Ts Ц
ts ц
Yo Ё
Ch Ч
Sh Ш
Yu Ю
Ya Я
G‘ Ғ
G' Ғ
G’ Ғ
O‘ Ў
O' Ў
O’ Ў
ye е
yo‘ йў
yo' йў
yo’ йў
yo ё
ch ч
sh ш
yu ю
ya я
g‘ ғ
g' ғ
g’ ғ
o‘ ў
o' ў
o’ ў
A А
B Б
V В
G Г
D Д
J Ж
Z З
I И
Y Й
K К
L Л
M М
N Н
O О
P П
R Р
S С
T Т
U У
F Ф
X Х
Q Қ
H Ҳ
a а
b б
v в
g г
d д
e е
j ж
z з
i и
y й
k к
l л
m м
n н
o о
p п
r р
s с
t т
u у
f ф
x х
’ ъ
' ъ
‘ ъ
q қ
h ҳ
